state_ocha,lga_ocha,adm2_pcode,area_sqkm,center_lat,center_lon,elevation
Adamawa,Michika,NG002013,810.6550601,10.57853096,13.38418884,566.0
Jigawa,Miga,NG018022,569.07816172,12.22487846,9.67756767,370.0
Plateau,Mikang,NG032012,785.21771861,9.01226623,9.5763007,254.0
Kano,Minjibir,NG020030,431.45991131,12.19260094,8.62126821,456.0
Bauchi,Misau,NG005014,997.64501169,11.38881846,10.46341143,444.0
Akwa Ibom,Mkpat Enin,NG003018,350.25362348,4.70473458,7.76100953,30.0
Ekiti,Moba,NG013015,197.17359814,7.99314519,5.13119435,557.0
Borno,Mobbar,NG008023,2704.71289905,13.0551951,12.62656649,308.0
Niger,Mokwa,NG027017,5301.00603435,9.12146651,5.32381983,112.0
Borno,Monguno,NG008024,1892.15572864,12.52256165,13.53364576,289.0
Kogi,Mopa-Muro,NG023013,833.24656486,8.14044577,5.90252098,288.0
Kwara,Moro,NG024012,3120.47257106,8.83834362,4.51431771,271.0
Adamawa,Mubi North,NG002014,753.43803364,10.35920323,13.36565401,582.0
Adamawa,Mubi South,NG002015,502.72169789,10.17145175,13.31206443,755.0
Katsina,Musawa,NG021029,787.8135445,12.1055678,7.67837983,590.0
Lagos,Mushin,NG025016,16.5559956,6.52911085,3.35258711,23.0
Niger,Muya,NG027018,2086.78927472,9.79731458,7.07878344,459.0
Gombe,Nafada,NG016009,1577.9577221,11.05110805,11.2465273,321.0
Yobe,Nangere,NG036012,1043.94310588,11.80785234,11.0456302,417.0
Kano,Nasarawa,NG020031,41.6839369,12.00443159,8.58502794,471.0
Nasarawa,Nasarawa,NG026009,4854.19544427,8.32168285,7.74712818,116.0
Nasarawa,Nasarawa-Eggon,NG026010,1258.40132933,8.74569374,8.47419492,489.0
Delta,Ndokwa East,NG010011,1609.2121581,5.66304277,6.50311942,21.0
Delta,Ndokwa West,NG010012,821.93977482,5.82609945,6.41635513,22.0
Bayelsa,Nembe,NG006004,1403.07594007,4.5435014,6.38134668,16.0
Borno,Ngala,NG008025,1443.40551744,12.29337425,14.19902988,291.0
Borno,Nganzai,NG008026,2313.45444874,12.45905285,13.10732304,303.0
Kebbi,Ngaski,NG022015,2605.90074172,10.58502675,4.72145372,166.0
Imo,Ngor-Okpala,NG017012,542.17564871,5.32742309,7.15750337,65.0
Yobe,Nguru,NG036013,816.64905163,12.97793488,10.3827601,348.0
Bauchi,Ningi,NG005015,4648.37831516,11.06335348,9.20696076,751.0
Imo,Njaba,NG017013,78.45827504,5.70099564,7.00107358,133.0
Anambra,Njikoka,NG004013,97.44535338,6.19020736,7.00788367,130.0
Enugu,Nkanu East,NG014011,760.16729422,6.33502602,7.67259253,95.0
Enugu,Nkanu West,NG014012,254.90198082,6.32814546,7.53439992,145.0
Imo,Nkwerre,NG017014,35.04408287,5.74996936,7.10038113,206.0
Anambra,Nnewi North,NG004014,68.58617722,6.01919213,6.91490054,151.0
Anambra,Nnewi South,NG004015,154.22756316,5.9580643,6.97695275,151.0
Akwa Ibom,Nsit Atai,NG003019,130.72990895,4.8185556,8.01398294,40.0
Akwa Ibom,Nsit Ibom,NG003020,130.6549785,4.90363453,7.89284685,60.0
Akwa Ibom,Nsit Ubium,NG003021,200.93860869,4.75973129,7.9487235,39.0
